"","to_taxa","from_taxa","from","to","cor","p","p_adjust","p_adjust2","from_class","to_class","name","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species","compare","compareclass"
"1","ASV1","ASV12","stoolASV12","nasalASV1",-0.119377275697972,0.00190555777602375,0.0329568800531342,0.0437529722852513,"stool","nasal","nasalASV1_stoolASV12","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","between","stool_nasal"
"2","ASV1","ASV43","stoolASV43","nasalASV1",-0.144490019377714,0.000167226813678902,0.00551848485140378,0.00764097902502061,"stool","nasal","nasalASV1_stoolASV43","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Unclassified_Ruminococcus","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","between","stool_nasal"
"3","ASV11","ASV648","stoolASV648","nasalASV11",0.107994245753272,0.00500515174770384,0.0216804728940884,0.0822934271088361,"stool","nasal","nasalASV11_stoolASV648","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Unclassified_Holdemanella","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","stool_nasal"
"4","ASV11","ASV2269","stoolASV2269","nasalASV11",0.133967532729776,0.000487969184480249,0.00805149154392411,0.0159552492980515,"stool","nasal","nasalASV11_stoolASV2269","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Frisingicoccus","Unclassified_Frisingicoccus","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","stool_nasal"
"5","ASV11","OTU_1656","oralOTU_1656","nasalASV11",-0.137241415561263,0.000239703638536763,0.0153410328663529,0.0147018231635882,"oral","nasal","nasalASV11_oralOTU_1656","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium","Unclassified_Fretibacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","oral_nasal"
"6","ASV11","ASV2950","stoolASV2950","nasalASV11",0.11695367228119,0.00235715324370599,0.0129643428403829,0.0503047554525038,"stool","nasal","nasalASV11_stoolASV2950","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Unclassified_Slackia","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","stool_nasal"
"7","ASV11","OTU_1541","skinOTU_1541","nasalASV11",-0.135293585867435,0.00200843057785413,0.00883709454255816,0.0181518698712005,"skin","nasal","nasalASV11_skinOTU_1541","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Unclassified_Nocardioides","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","skin_nasal"
"8","ASV11","OTU_83","skinOTU_83","nasalASV11",-0.139560866218515,0.00143577120732897,0.00498741577282697,0.013717768335166,"skin","nasal","nasalASV11_skinOTU_83","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Unclassified_Weeksellaceae","Unclassified_Weeksellaceae","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","skin_nasal"
"9","ASV11","OTU_152","skinOTU_152","nasalASV11",-0.130333430929983,0.00293237713906024,0.0148874531675366,0.0245555988806781,"skin","nasal","nasalASV11_skinOTU_152","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","Unclassified_Lysinibacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","skin_nasal"
"10","ASV11","OTU_263","skinOTU_263","nasalASV11",-0.125937410672876,0.00405843991548562,0.0267857034422051,0.0316104574783787,"skin","nasal","nasalASV11_skinOTU_263","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Unclassified_Methylobacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","catarrhalis","between","skin_nasal"
