"","to_taxa","from_taxa","from","to","cor","p","p_adjust","p_adjust2","from_class","to_class","name","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species","compare","compareclass"
"1","ASV1020","ASV152","stoolASV152","stoolASV1020",-0.120965386479681,0.000452677659314691,0.0015136409233335,0.0038938441183275,"stool","stool","stoolASV1020_stoolASV152","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter","Unclassified_Fusicatenibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"2","ASV1020","ASV87","stoolASV87","stoolASV1020",-0.0894586507527104,0.00961295142409955,0.0321433063243329,0.0469531367645163,"stool","stool","stoolASV1020_stoolASV87","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","Unclassified_Oscillibacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"3","ASV1020","ASV67","stoolASV67","stoolASV1020",-0.162407179111924,2.32434305921325e-06,1.91311313335244e-05,4.27149336836797e-05,"stool","stool","stoolASV1020_stoolASV67","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Unclassified_Faecalibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"4","ASV1020","ASV474","stoolASV474","stoolASV1020",-0.0899805019186928,0.00919771991018574,0.0228873495439506,0.0455315545442062,"stool","stool","stoolASV1020_stoolASV474","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum","Unclassified_Anaerobutyricum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"5","ASV1020","ASV194","stoolASV194","stoolASV1020",-0.0965340219565867,0.00518711765163263,0.0132147997315403,0.0294726104186313,"stool","stool","stoolASV1020_stoolASV194","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus2","Unclassified_Ruminococcus2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"6","ASV1020","ASV65","stoolASV65","stoolASV1020",-0.109881778724945,0.00145315634000611,0.00501573317356948,0.0102539650722996,"stool","stool","stoolASV1020_stoolASV65","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Unclassified_Lachnospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"7","ASV1020","ASV130","stoolASV130","stoolASV1020",-0.11664884606023,0.00072152109091781,0.00173729685087525,0.00574856991643564,"stool","stool","stoolASV1020_stoolASV130","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Unclassified_Blautia","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"8","ASV1020","ASV122","stoolASV122","stoolASV1020",-0.119067563357257,0.000556702320542281,0.00175197494994188,0.00461700008752697,"stool","stool","stoolASV1020_stoolASV122","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified_Ruminococcaceae","Unclassified_Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"9","ASV1020","ASV48","stoolASV48","stoolASV1020",-0.132405722041797,0.000122122619522773,0.00043557067629789,0.00126300758096244,"stool","stool","stoolASV1020_stoolASV48","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified_Lachnospiraceae","Unclassified_Lachnospiraceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"10","ASV1020","ASV27","stoolASV27","stoolASV1020",-0.101131141425689,0.00340098273370627,0.0158219631524596,0.0210588703722029,"stool","stool","stoolASV1020_stoolASV27","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","Unclassified_Agathobacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"11","ASV1020","ASV201","stoolASV201","stoolASV1020",-0.0862876088489844,0.0125139144416699,0.034333047314325,0.0575157793828495,"stool","stool","stoolASV1020_stoolASV201","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","Unclassified_Coprococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
"12","ASV1020","ASV293","stoolASV293","stoolASV1020",-0.108864628430761,0.00160922462102224,0.00441505216536871,0.0111323339492952,"stool","stool","stoolASV1020_stoolASV293","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","longicatena","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within","stool_stool"
