"","to_taxa","from_taxa","from","to","cor","from_class","to_class","p_value","p_value_adjust","name","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species","compare"
"1","ASV1020","OTU_1096","skinOTU_1096","stoolASV1020",0.314344396766666,"skin","stool",0,0,"skinOTU_1096_stoolASV1020","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Nocardiaceae","Rhodococcus","Unclassified_Rhodococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"2","ASV1020","OTU_541","skinOTU_541","stoolASV1020",0.354404752803542,"skin","stool",0,0,"skinOTU_541_stoolASV1020","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified_Bacillales","Unclassified_Bacillales","Unclassified_Bacillales","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"3","ASV1020","OTU_31","oralOTU_31","stoolASV1020",0.242490826859315,"oral","stool",0,0,"oralOTU_31_stoolASV1020","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","mucilaginosa","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"4","ASV1020","OTU_1656","oralOTU_1656","stoolASV1020",0.176024080995506,"oral","stool",0,0,"oralOTU_1656_stoolASV1020","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium","Unclassified_Fretibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"5","ASV1020","OTU_21","skinOTU_21","stoolASV1020",-0.395703538542797,"skin","stool",0,0,"skinOTU_21_stoolASV1020","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Unclassified_Leptotrichia","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"6","ASV1020","OTU_127","oralOTU_127","stoolASV1020",-0.268885955870152,"oral","stool",0,0,"oralOTU_127_stoolASV1020","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","Unclassified_Butyrivibrio","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"7","ASV1020","ASV512","nasalASV512","stoolASV1020",-0.522651370384967,"nasal","stool",0,0,"nasalASV512_stoolASV1020","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","dentocariosa","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"8","ASV1020","ASV1","nasalASV1","stoolASV1020",0.319498898477925,"nasal","stool",0,0,"nasalASV1_stoolASV1020","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"9","ASV1020","ASV910","nasalASV910","stoolASV1020",-0.492439143108582,"nasal","stool",0,0,"nasalASV910_stoolASV1020","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XI","Gemella","haemolysans","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"10","ASV1020","ASV1139","nasalASV1139","stoolASV1020",-0.316662709731051,"nasal","stool",0,0,"nasalASV1139_stoolASV1020","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","aeria","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"11","ASV1020","OTU_10","skinOTU_10","stoolASV1020",-0.481279840290722,"skin","stool",0,0,"skinOTU_10_stoolASV1020","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified_Streptococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"12","ASV1020","OTU_657","skinOTU_657","stoolASV1020",-0.368856146637371,"skin","stool",0,0,"skinOTU_657_stoolASV1020","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Unclassified_Stenotrophomonas","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"13","ASV1020","OTU_5","skinOTU_5","stoolASV1020",-0.274753594077596,"skin","stool",0,0,"skinOTU_5_stoolASV1020","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Unclassified_Veillonella","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"14","ASV1020","OTU_384","skinOTU_384","stoolASV1020",0.486596837906437,"skin","stool",0,0,"skinOTU_384_stoolASV1020","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Unclassified_Bacillaceae_1","Unclassified_Bacillaceae_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"15","ASV1020","ASV489","nasalASV489","stoolASV1020",-0.387982450894178,"nasal","stool",0,0,"nasalASV489_stoolASV1020","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sanguinis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"16","ASV1020","OTU_536","skinOTU_536","stoolASV1020",0.377771934517986,"skin","stool",0,0,"skinOTU_536_stoolASV1020","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Alkalihalobacillus","Unclassified_Alkalihalobacillus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","between"
"17","ASV1081","OTU_65","oralOTU_65","stoolASV1081",-0.318177707983141,"oral","stool",0,0,"oralOTU_65_stoolASV1081","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","Unclassified_Lachnoanaerobaculum","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","between"
"18","ASV1081","ASV299","nasalASV299","stoolASV1081",-0.30374994019419,"nasal","stool",0,0,"nasalASV299_stoolASV1081","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Unclassified_Staphylococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","between"
"19","ASV1081","ASV378","nasalASV378","stoolASV1081",-0.427833931209766,"nasal","stool",0,0,"nasalASV378_stoolASV1081","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Unclassified_Staphylococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","between"
"20","ASV1081","ASV203","nasalASV203","stoolASV1081",-0.230791202732072,"nasal","stool",0,0,"nasalASV203_stoolASV1081","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","capitis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","between"
"21","ASV1081","OTU_17","oralOTU_17","stoolASV1081",-0.379827428749332,"oral","stool",0,0,"oralOTU_17_stoolASV1081","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","concisus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus","Unclassified_Monoglobus","between"
"22","ASV111","ASV22","nasalASV22","stoolASV111",-0.463026969020994,"nasal","stool",0,0,"nasalASV22_stoolASV111","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","epidermidis","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","between"
"23","ASV111","OTU_582","oralOTU_582","stoolASV111",-0.17389110695431,"oral","stool",0,0,"oralOTU_582_stoolASV111","Bacteria","Tenericutes","Mollicutes","Mycoplasmoidales","Metamycoplasmataceae","Metamycoplasma","Unclassified_Metamycoplasma","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","between"
"24","ASV111","ASV17","nasalASV17","stoolASV111",-0.36234020546881,"nasal","stool",0,0,"nasalASV17_stoolASV111","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus","Unclassified_Peptoniphilus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","between"
"25","ASV111","ASV8","nasalASV8","stoolASV111",0.325422770010242,"nasal","stool",0,0,"nasalASV8_stoolASV111","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Unclassified_Corynebacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","between"
"26","ASV111","ASV221","nasalASV221","stoolASV111",-0.378683697929337,"nasal","stool",0,0,"nasalASV221_stoolASV111","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Finegoldia","magna","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaeromassilibacillus","Unclassified_Anaeromassilibacillus","between"
"27","ASV1111","OTU_49","skinOTU_49","stoolASV1111",-0.3505774828414,"skin","stool",0,0,"skinOTU_49_stoolASV1111","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XI","Gemella","Unclassified_Gemella","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII","Unclassified_Clostridium_XVIII","between"
"28","ASV1111","OTU_299","skinOTU_299","stoolASV1111",-0.233517232229,"skin","stool",0,0,"skinOTU_299_stoolASV1111","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter","aerosaccus","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII","Unclassified_Clostridium_XVIII","between"
