"","to_taxa","from_taxa","from","to","cor","from_class","to_class","p_value","p_value_adjust","name","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species","compare"
"1","ASV1","ASV30","nasalASV30","nasalASV1",0.645515551854954,"nasal","nasal",0,0,"nasalASV1_nasalASV30","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","within"
"2","ASV1","ASV228","nasalASV228","nasalASV1",-0.298539416056453,"nasal","nasal",0,0,"nasalASV1_nasalASV228","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Unclassified_Neisseria","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","within"
"3","ASV1","ASV17","nasalASV17","nasalASV1",0.397527848299224,"nasal","nasal",0,0,"nasalASV1_nasalASV17","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus","Unclassified_Peptoniphilus","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","within"
"4","ASV1","ASV1116","nasalASV1116","nasalASV1",-0.33393841573219,"nasal","nasal",0,0,"nasalASV1_nasalASV1116","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","within"
"5","ASV1","ASV59","nasalASV59","nasalASV1",0.532087335039189,"nasal","nasal",0,0,"nasalASV1_nasalASV59","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus","Unclassified_Anaerococcus","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","within"
"6","ASV1","ASV15","nasalASV15","nasalASV1",0.669456412171078,"nasal","nasal",0,0,"nasalASV1_nasalASV15","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Lawsonellaceae","Lawsonella","Unclassified_Lawsonella","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","within"
"7","ASV1","ASV39","nasalASV39","nasalASV1",-0.431729382682775,"nasal","nasal",0,0,"nasalASV1_nasalASV39","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","pneumoniae","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Unclassified_Cutibacterium","within"
"8","ASV10","ASV512","nasalASV512","nasalASV10",0.367489436449551,"nasal","nasal",0,0,"nasalASV10_nasalASV512","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","dentocariosa","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium","pseudodiphtheriticum","within"
"9","ASV1020","ASV4011","stoolASV4011","stoolASV1020",0.304370689108179,"stool","stool",0,0,"stoolASV1020_stoolASV4011","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea","Unclassified_Phocea","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within"
"10","ASV1020","ASV1460","stoolASV1460","stoolASV1020",0.392215337318317,"stool","stool",0,0,"stoolASV1020_stoolASV1460","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Unclassified_Bilophila","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within"
"11","ASV1020","ASV7597","stoolASV7597","stoolASV1020",0.208157225957404,"stool","stool",0,0,"stoolASV1020_stoolASV7597","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Unclassified_Holdemania","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within"
"12","ASV1020","ASV3102","stoolASV3102","stoolASV1020",0.244259999723202,"stool","stool",0,0,"stoolASV1020_stoolASV3102","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","pamelaeae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within"
"13","ASV1020","ASV2867","stoolASV2867","stoolASV1020",-0.284726994960994,"stool","stool",0,0,"stoolASV1020_stoolASV2867","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Unclassified_Eggerthellaceae","Unclassified_Eggerthellaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within"
"14","ASV1020","ASV1870","stoolASV1870","stoolASV1020",0.2983424966217,"stool","stool",0,0,"stoolASV1020_stoolASV1870","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Unclassified_Clostridiales_Incertae_Sedis_XIII","Unclassified_Clostridiales_Incertae_Sedis_XIII","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Agathobaculum","Unclassified_Agathobaculum","within"
