...1,Start,End,taxa,SubjectID,timediff,Bodysite,name,sample_id1,sample_id2,dist,jaccard,asv_number
1,69-107-6021_1,69-107-6023,Cutibacterium,69-107,14,Skin,69-107-6021_1_69-107-6023,69-107-6023,69-107-6021_1,0.9117807224541659,0.6666666666666666,3
2,69-107-6031,69-107-6033,Cutibacterium,69-107,14,Skin,69-107-6031_69-107-6033,69-107-6031,69-107-6033,0.3499025515404009,1,3
3,69-022-02,69-022-07,Cutibacterium,69-022,620,Skin,69-022-02_69-022-07,69-022-07,69-022-02,0.43812233285917496,1,2
4,69-001-7077,69-001-7083,Cutibacterium,69-001,74,Skin,69-001-7077_69-001-7083,69-001-7083,69-001-7077,0.5511659949265378,0.6666666666666666,3
5,70-1014-02,69-028-2012,Neisseria,70-1014,93,Skin,69-028-2012_70-1014-02,70-1014-02,69-028-2012,1,0,2
6,69-028-2012,69-028-6022,Neisseria,70-1014,248,Skin,69-028-2012_69-028-6022,69-028-2012,69-028-6022,1,0,2
7,69-028-6022,69-028-6024,Neisseria,70-1014,14,Skin,69-028-6022_69-028-6024,69-028-6024,69-028-6022,0.7304964539007093,0.5,2
8,69-028-6024,69-028-6034,Neisseria,70-1014,112,Skin,69-028-6024_69-028-6034,69-028-6034,69-028-6024,1,0,3
9,69-028-6034,70-1014-1031,Neisseria,70-1014,555,Skin,69-028-6034_70-1014-1031,69-028-6034,70-1014-1031,1,0,2
10,70-1012-2013,70-1012-08,Neisseria,70-1012,425,Skin,70-1012-08_70-1012-2013,70-1012-2013,70-1012-08,1,0,3
11,69-032-10,69-032-11,Neisseria,69-032,229,Skin,69-032-10_69-032-11,69-032-10,69-032-11,0.9393939393939394,1,1
12,69-023-1012,69-023-6014,Neisseria,69-023,393,Skin,69-023-1012_69-023-6014,69-023-6014,69-023-1012,0.9154929577464789,0.5,2
13,69-023-6016,69-023-6031,Neisseria,69-023,129,Skin,69-023-6016_69-023-6031,69-023-6016,69-023-6031,0.7651821862348178,0.5,2
14,70-1015-01,70-1015-6021,Neisseria,70-1015,595,Skin,70-1015-01_70-1015-6021,70-1015-6021,70-1015-01,0.875,1,1
15,70-1015-6021,70-1015-6033,Neisseria,70-1015,133,Skin,70-1015-6021_70-1015-6033,70-1015-6021,70-1015-6033,0.18421052631578946,1,1
16,69-107-6011,69-107-6014,Neisseria,69-107,21,Skin,69-107-6011_69-107-6014,69-107-6011,69-107-6014,1,0,2
17,69-107-6014,69-107-6032,Neisseria,69-107,316,Skin,69-107-6014_69-107-6032,69-107-6014,69-107-6032,0.9988572361439882,0.2,5
18,69-107-6033,69-107-6035,Neisseria,69-107,10,Skin,69-107-6033_69-107-6035,69-107-6035,69-107-6033,1,0,2
19,69-107-03,69-107-05,Neisseria,69-107,438,Skin,69-107-03_69-107-05,69-107-05,69-107-03,1,0,2
20,70-1011-11,70-1011-13,Neisseria,70-1011,447,Skin,70-1011-11_70-1011-13,70-1011-13,70-1011-11,0.9767441860465116,0.3333333333333333,3
21,70-1005-05,70-1005-6023,Neisseria,70-1005,978,Skin,70-1005-05_70-1005-6023,70-1005-05,70-1005-6023,0.7792207792207793,1,1
22,70-1005-6023,70-1005-6026,Neisseria,70-1005,17,Skin,70-1005-6023_70-1005-6026,70-1005-6026,70-1005-6023,0.4925373134328358,1,1
23,70-1005-6032,70-1005-6034,Neisseria,70-1005,14,Skin,70-1005-6032_70-1005-6034,70-1005-6034,70-1005-6032,0.6,1,1
24,70-1005-6034,70-1005-6036,Neisseria,70-1005,14,Skin,70-1005-6034_70-1005-6036,70-1005-6036,70-1005-6034,0.910828025477707,1,1
25,70-1005-6036,70-1005-6052,Neisseria,70-1005,112,Skin,70-1005-6036_70-1005-6052,70-1005-6036,70-1005-6052,0.7751479289940828,1,1
26,70-1008-04,70-1008-06,Neisseria,70-1008,210,Skin,70-1008-04_70-1008-06,70-1008-06,70-1008-04,1,0,2
27,70-1008-06,70-1008-13,Neisseria,70-1008,819,Skin,70-1008-06_70-1008-13,70-1008-06,70-1008-13,1,0,3
28,70-1008-13,70-1008-6011,Neisseria,70-1008,167,Skin,70-1008-13_70-1008-6011,70-1008-13,70-1008-6011,0.47368421052631576,0.5,2
29,70-1008-6013,70-1008-6016,Neisseria,70-1008,17,Skin,70-1008-6013_70-1008-6016,70-1008-6013,70-1008-6016,1,0,2
30,70-1008-6024,70-1008-6032,Neisseria,70-1008,98,Skin,70-1008-6024_70-1008-6032,70-1008-6032,70-1008-6024,0.6637931034482759,1,1
31,70-1008-6035,70-1008-12,Neisseria,70-1008,255,Skin,70-1008-12_70-1008-6035,70-1008-12,70-1008-6035,0.8545583540262505,1,3
32,69-026-4013,69-026-11,Neisseria,69-026,252,Skin,69-026-11_69-026-4013,69-026-4013,69-026-11,0.4,1,1
33,69-026-2052,69-026-2055,Neisseria,69-026,34,Skin,69-026-2052_69-026-2055,69-026-2052,69-026-2055,0.43333333333333335,1,1
34,69-026-1033,69-026-13,Neisseria,69-026,138,Skin,69-026-1033_69-026-13,69-026-13,69-026-1033,0.09090909090909091,1,1
35,70-1004-1011,70-1004-1013,Neisseria,70-1004,5,Skin,70-1004-1011_70-1004-1013,70-1004-1011,70-1004-1013,1,0,2
36,70-1004-1013,70-1004-13,Neisseria,70-1004,742,Skin,70-1004-1013_70-1004-13,70-1004-13,70-1004-1013,1,0,2
37,70-1004-13,70-1004-15,Neisseria,70-1004,278,Skin,70-1004-13_70-1004-15,70-1004-13,70-1004-15,1,0,2
38,69-063-1011,69-063-1014,Neisseria,69-063,19,Skin,69-063-1011_69-063-1014,69-063-1011,69-063-1014,0.9697525206232814,0.5,2
39,69-063-1015,69-063-6022,Neisseria,69-063,105,Skin,69-063-1015_69-063-6022,69-063-6022,69-063-1015,1,0,2
40,69-063-6025,69-063-6035,Neisseria,69-063,56,Skin,69-063-6025_69-063-6035,69-063-6035,69-063-6025,0.9979535118746842,0.25,4
41,69-063-05,69-063-11,Neisseria,69-063,555,Skin,69-063-05_69-063-11,69-063-05,69-063-11,0.2840909090909091,1,1
42,69-063-2012,69-063-2015,Neisseria,69-063,31,Skin,69-063-2012_69-063-2015,69-063-2012,69-063-2015,0.2033898305084746,1,1
43,69-048-2014,69-048-14,Neisseria,69-048,1157,Skin,69-048-14_69-048-2014,69-048-2014,69-048-14,0.8260869565217391,1,1
44,70-1010-6023,70-1010-2032,Neisseria,70-1010,361,Skin,70-1010-2032_70-1010-6023,70-1010-6023,70-1010-2032,1,0,3
45,69-022-03,69-022-09,Neisseria,69-022,899,Skin,69-022-03_69-022-09,69-022-03,69-022-09,0.9990880789912266,0.25,4
46,70-1006-14,70-1006-16,Neisseria,70-1006,613,Skin,70-1006-14_70-1006-16,70-1006-14,70-1006-16,0.898989898989899,0.3333333333333333,3
47,69-041-4013,69-041-06,Neisseria,69-041,426,Skin,69-041-06_69-041-4013,69-041-4013,69-041-06,0.76,0.25,4
48,69-053-4011,69-053-1035,Neisseria,69-053,358,Skin,69-053-1035_69-053-4011,69-053-4011,69-053-1035,0.9812865497076023,0.3333333333333333,3
49,69-053-1035,69-053-6014,Neisseria,69-053,25,Skin,69-053-1035_69-053-6014,69-053-6014,69-053-1035,0.7850368809272918,0.6666666666666666,3
50,69-053-6014,69-053-2021,Neisseria,69-053,56,Skin,69-053-2021_69-053-6014,69-053-6014,69-053-2021,0.9065420560747663,0.5,2
51,69-053-2021,69-053-6022,Neisseria,69-053,147,Skin,69-053-2021_69-053-6022,69-053-2021,69-053-6022,0.9738903394255874,0.3333333333333333,3
52,69-053-6024,69-053-6032,Neisseria,69-053,253,Skin,69-053-6024_69-053-6032,69-053-6032,69-053-6024,0.06666666666666667,1,1
53,69-053-6032,69-053-6034,Neisseria,69-053,14,Skin,69-053-6032_69-053-6034,69-053-6034,69-053-6032,1,0,2
54,69-053-3011,69-053-3013,Neisseria,69-053,8,Skin,69-053-3011_69-053-3013,69-053-3011,69-053-3013,0.9955396966993756,1,1
55,69-053-3013,69-053-2031,Neisseria,69-053,98,Skin,69-053-2031_69-053-3013,69-053-3013,69-053-2031,0.980522355024347,1,1
56,69-071-02,69-071-05,Neisseria,69-071,273,Skin,69-071-02_69-071-05,69-071-05,69-071-02,0.7939609236234458,0.3333333333333333,3
57,69-037-1023,69-037-1036,Neisseria,69-037,244,Skin,69-037-1023_69-037-1036,69-037-1036,69-037-1023,0.964635231316726,0.3333333333333333,3
58,69-037-1036,69-037-15,Neisseria,69-037,721,Skin,69-037-1036_69-037-15,69-037-1036,69-037-15,0.9977383240981568,0.3333333333333333,3
59,69-001-61,69-001-66,Neisseria,69-001,152,Skin,69-001-61_69-001-66,69-001-66,69-001-61,0.16666666666666666,1,1
60,69-001-66,69-001-71,Neisseria,69-001,65,Skin,69-001-66_69-001-71,69-001-66,69-001-71,0.834319526627219,1,1
61,69-001-71,69-001-73,Neisseria,69-001,72,Skin,69-001-71_69-001-73,69-001-71,69-001-73,0.9620253164556962,1,1
62,69-001-73,69-001-76,Neisseria,69-001,73,Skin,69-001-73_69-001-76,69-001-76,69-001-73,0.8181818181818182,1,1
63,69-001-76,69-001-82,Neisseria,69-001,117,Skin,69-001-76_69-001-82,69-001-82,69-001-76,0.3953488372093023,1,1
64,69-001-82,69-001-84,Neisseria,69-001,52,Skin,69-001-82_69-001-84,69-001-82,69-001-84,0.4583333333333333,1,1
65,69-001-6015,69-001-6023,Neisseria,69-001,41,Skin,69-001-6015_69-001-6023,69-001-6015,69-001-6023,0.15789473684210525,1,1
66,69-001-6026,69-001-6033,Neisseria,69-001,63,Skin,69-001-6026_69-001-6033,69-001-6026,69-001-6033,0.696969696969697,1,1
67,69-001-6033,69-001-6047,Neisseria,69-001,224,Skin,69-001-6033_69-001-6047,69-001-6047,69-001-6033,0.8307692307692308,0.5,2
68,69-001-6047,69-001-7015,Neisseria,69-001,52,Skin,69-001-6047_69-001-7015,69-001-7015,69-001-6047,1,0,3
69,69-001-7015,69-001-7022,Neisseria,69-001,40,Skin,69-001-7015_69-001-7022,69-001-7015,69-001-7022,1,0,2
70,69-001-7022,69-001-7036,Neisseria,69-001,106,Skin,69-001-7022_69-001-7036,69-001-7036,69-001-7022,1,0,2
71,69-001-7036,69-001-1042,Neisseria,69-001,26,Skin,69-001-1042_69-001-7036,69-001-7036,69-001-1042,1,0,2
72,69-001-7041,69-001-7043,Neisseria,69-001,59,Skin,69-001-7041_69-001-7043,69-001-7041,69-001-7043,0.391304347826087,1,1
73,69-001-7043,69-001-7045,Neisseria,69-001,46,Skin,69-001-7043_69-001-7045,69-001-7045,69-001-7043,1,0,2
