...1,Start,End,taxa,SubjectID,timediff,Bodysite,name,sample_id1,sample_id2,dist,jaccard,asv_number
1,69-001-44,69-001-49,Cutibacterium,69-001,108,Stool,69-001-44_69-001-49,69-001-44,69-001-49,0.2,1,1
2,69-001-49,69-001-55,Cutibacterium,69-001,79,Stool,69-001-49_69-001-55,69-001-49,69-001-55,0.5714285714285714,1,1
3,69-001-59,69-001-6046,Cutibacterium,69-001,946,Stool,69-001-59_69-001-6046,69-001-59,69-001-6046,0.6,1,1
4,69-001-44,69-001-49,Corynebacterium,69-001,108,Stool,69-001-44_69-001-49,69-001-44,69-001-49,0,1,1
5,69-001-49,69-001-55,Corynebacterium,69-001,79,Stool,69-001-49_69-001-55,69-001-49,69-001-55,0.75,1,1
6,69-001-57,69-001-59,Corynebacterium,69-001,60,Stool,69-001-57_69-001-59,69-001-57,69-001-59,1,0,3
7,69-001-59,69-001-6027,Corynebacterium,69-001,683,Stool,69-001-59_69-001-6027,69-001-59,69-001-6027,1,0,2
8,69-037-1012,69-037-03,Staphylococcus,69-037,105,Stool,69-037-03_69-037-1012,69-037-03,69-037-1012,1,0,2
9,70-1015-01,70-1015-2012,Staphylococcus,70-1015,347,Stool,70-1015-01_70-1015-2012,70-1015-01,70-1015-2012,0.2222222222222222,1,1
10,69-043-8013,69-043-10,Staphylococcus,69-043,68,Stool,69-043-10_69-043-8013,69-043-8013,69-043-10,1,0,2
11,69-021-04,69-021-4012,Staphylococcus,69-021,21,Stool,69-021-04_69-021-4012,69-021-4012,69-021-04,1,0,2
12,69-079-1012,69-079-1014,Phocaeicola,69-079,18,Stool,69-079-1012_69-079-1014,69-079-1012,69-079-1014,1,0,3
13,69-079-1014,69-079-06,Phocaeicola,69-079,523,Stool,69-079-06_69-079-1014,69-079-1014,69-079-06,0.9157894736842105,1,1
14,69-001-48,69-001-55,Lawsonella,69-001,90,Stool,69-001-48_69-001-55,69-001-48,69-001-55,1,0,2
15,69-001-56,69-001-58,Lawsonella,69-001,6,Stool,69-001-56_69-001-58,69-001-56,69-001-58,0.42857142857142855,1,1
16,69-031-05,69-031-08,Alistipes,69-031,317,Stool,69-031-05_69-031-08,69-031-05,69-031-08,0.8333333333333334,0.5,2
17,69-037-2011,69-037-2013,Alistipes,69-037,6,Stool,69-037-2011_69-037-2013,69-037-2011,69-037-2013,0.8205128205128205,1,1
18,69-053-2022,69-053-2025,Alistipes,69-053,27,Stool,69-053-2022_69-053-2025,69-053-2022,69-053-2025,0.45486935866983375,0.625,8
19,69-041-02,69-041-4013,Alistipes,69-041,20,Stool,69-041-02_69-041-4013,69-041-02,69-041-4013,1,0,2
20,69-041-03,69-041-06,Alistipes,69-041,334,Stool,69-041-03_69-041-06,69-041-03,69-041-06,0.3464566929133858,1,1
21,69-079-1012,69-079-1014,Alistipes,69-079,18,Stool,69-079-1012_69-079-1014,69-079-1012,69-079-1014,1,0,4
22,69-122-1013,69-122-02,Alistipes,69-122,101,Stool,69-122-02_69-122-1013,69-122-1013,69-122-02,0.16981132075471697,0.7142857142857143,7
23,70-1004-08,70-1004-13,Agathobacter,70-1004,553,Stool,70-1004-08_70-1004-13,70-1004-08,70-1004-13,0.9707057256990679,0.125,8
24,70-1005-1025,70-1005-10,Agathobacter,70-1005,188,Stool,70-1005-10_70-1005-1025,70-1005-1025,70-1005-10,0.24848484848484848,0.6666666666666666,3
25,70-1005-11,70-1005-6014,Agathobacter,70-1005,363,Stool,70-1005-11_70-1005-6014,70-1005-11,70-1005-6014,0.8280069726902963,0.2,5
26,70-1005-6014,70-1005-6034,Agathobacter,70-1005,188,Stool,70-1005-6014_70-1005-6034,70-1005-6014,70-1005-6034,0.9864176570458404,0.5,2
27,70-1008-2015,70-1008-11,Agathobacter,70-1008,339,Stool,70-1008-11_70-1008-2015,70-1008-2015,70-1008-11,0.7313769751693002,0.14285714285714285,7
28,70-1010-07,70-1010-6024,Agathobacter,70-1010,614,Stool,70-1010-07_70-1010-6024,70-1010-6024,70-1010-07,0.9875583203732504,0.25,4
29,69-001-54,69-001-56,Agathobacter,69-001,13,Stool,69-001-54_69-001-56,69-001-54,69-001-56,1,0,2
30,69-001-56,69-001-62,Agathobacter,69-001,155,Stool,69-001-56_69-001-62,69-001-56,69-001-62,0.4,1,1
31,69-001-68,69-001-2002,Agathobacter,69-001,15,Stool,69-001-2002_69-001-68,69-001-68,69-001-2002,1,0,2
32,69-063-6013,69-063-6015,Agathobacter,69-063,10,Stool,69-063-6013_69-063-6015,69-063-6013,69-063-6015,1,0,2
33,69-063-6016,69-063-6022,Agathobacter,69-063,39,Stool,69-063-6016_69-063-6022,69-063-6016,69-063-6022,0.4225352112676056,0.5,2
34,69-063-6025,69-063-6027,Agathobacter,69-063,18,Stool,69-063-6025_69-063-6027,69-063-6025,69-063-6027,0.02857142857142857,1,1
35,69-043-1023,69-043-2011,Agathobacter,69-043,25,Stool,69-043-1023_69-043-2011,69-043-1023,69-043-2011,0.5314685314685315,0.25,4
36,69-043-2012,69-043-05,Agathobacter,69-043,121,Stool,69-043-05_69-043-2012,69-043-2012,69-043-05,0.8690476190476191,0.5,2
