	negtaive_h	ee	el	re	positive_h
time	1	2	3	4	5
ASV1_nasal	0.101245116918309	0.113684496359034	0.0825743748406289	0.146842010204097	0.167533711439551
ASV2_nasal	0.108976095641469	0.170023410548765	0.14626871826761	0.209457385778441	0.183827563920819
ASV4_nasal	0.713321749483364	0.511419342751606	0.584844363406978	0.459458183863353	0.45998046090518
ASV5_nasal	0.00130525418792613	0.00144886054435614	0.0216342446535735	0.00376606259086836	0.000247136830670248
ASV12_nasal	0.00264664966214325	0.00391869083437294	0.0115442129398864	0	1.59264727839806e-05
ASV13_nasal	0.000226875265869452	0	0.000453750531738904	0	0.103018183509278
ASV15_nasal	0.00327252624347902	0.00725040561516378	0.00906666754600423	0.00259102629685088	0.00746044255271058
ASV17_nasal	0.00532446914482052	0.010597118887791	0.0154980869618489	0.0036233066753713	0.00931267399363048
ASV26_nasal	7.24506429994565e-05	0	0.00682239592321426	0.000851634963338408	1.19695321001088e-05
ASV27_nasal	0.000169808116827984	0.00249504659866442	0.00159505532848171	0	6.51071943449752e-05
ASV33_nasal	0.000118865681779589	0	0.000228732295240608	0.000922818791946308	6.84275352401807e-06
ASV34_nasal	0.00723259065552182	0.0119101026933863	0.00793529194311442	0.00541863881181656	0.00664475521547014
ASV39_nasal	0.00341462437262865	0.00346255862145356	0.00536542837684212	0.0041506562371254	0.00568234982214407
ASV43_nasal	0.000773501474763153	0.00164379540617891	0.000535753588036292	0.00145878920495988	0
ASV57_nasal	7.24506429994565e-05	0.000557716298524988	0.00255208852557074	0	0
ASV59_nasal	0.00959208142803689	0.0147534107142417	0.00934342577872628	0.012867184691136	0.0170077801099181
ASV65_nasal	8.49040584139922e-05	0.00143832098040655	0	0.000267444687575978	0
ASV69_nasal	0.000245349178778333	0.00100855820341536	0.000509763338094758	0.000721476510067114	0.000422621619064614
ASV77_nasal	0.000210560834595976	0.00245101636457034	0	0	0.000129651089413357
ASV78_nasal	0.000358859205634492	0	0.000687310702179098	0.00162898127887187	0
ASV87_nasal	0.000169808116827984	0.00068980700080722	0.000976971388695046	0	0
ASV91_nasal	5.57491289198605e-05	0.00258310706685258	0	0.000922818791946308	0.000202538152277907
ASV94_nasal	0.000461807508436445	0	4.21733323961482e-05	0.000163212012404113	0.000895880374502819
ASV97_nasal	0.000370179234143556	0.00111543259704997	0.00376831821353804	0	1.0690994618866e-05
ASV130_nasal	0.00145717569319602	0.00500399673209752	0.00111189051952495	0.00238914262683226	0.000475412686756372
ASV152_nasal	0.000217030629490149	0	0.00103678596351311	0.000389010454655968	6.51071943449752e-05
ASV67_nasal	0.00150370367076716	0.00314082336537756	0.0180769481765847	0.00233367926544905	0.000199855302726947
ASV201_nasal	6.33943126245245e-05	0	0.000558269364968598	0	6.55593689255149e-06
ASV221_nasal	0.000966804292205098	0.0010150279006482	0.0005869799195093	0.00139805790800295	0.00101894783921639
ASV228_nasal	0.000803996053632285	0.00051368606443091	0.00146836860371973	0	0.000425329907101569
ASV112_nasal	7.24506429994565e-05	0	7.03791677663412e-05	0.00063214198881595	0
ASV254_nasal	0.00139393971862135	0.000462497123909728	0.00421316969851499	0.0010190372215081	0.00118938407617186
ASV373_nasal	0	0.000630487665585302	0.00209506031124367	0.000503355704697986	7.7936886853354e-05
ASV383_nasal	0.000386106409139861	0.0070709379353731	0.00285851051590354	0.000322379324433715	0.000759827315060962
ASV48_nasal	0.000656773568509552	0	0.00545372949030873	0.000705081449063944	0.000734288823197091
ASV274_nasal	0.00127989850288154	0.0117253740584437	0.00141180398807409	0.0013828225214187	0.00122689038417288
ASV526_nasal	0.000153702698381111	6.7768829490473e-05	0.000774260487579867	0	0.000798564295099518
ASV256_nasal	0.000224146099077577	0.00139429074631247	0.00043864021533247	0.000437636761487964	0.000149581011937547
ASV122_nasal	0.00152341214885103	0.0034892379785998	0.00235389760380104	0.000534889375151958	0.00123819493026351
ASV527_nasal	0.000283013015433838	0	0.00156574353821794	0	0.000522083959832159
ASV31_nasal	0.00029120876300626	0.0004095717259568	0.00394307513866335	0.000677663881260432	0.000387923239685384
ASV652_nasal	0.000664727495137786	0.00061954764262901	0.000890617802119056	0.000897849576219476	0.000280115785810573
